category,name,code,game_price,votes,rubles,note
Рюкзаки,Hiking Backpack 01 02,Hiking_Backpack_01_02,21413,2,34,Рюкзак
Рюкзаки,Hiking Backpack 01 03,Hiking_Backpack_01_03,21413,2,34,Рюкзак
Рюкзаки,Hiking Backpack 01 04,Hiking_Backpack_01_04,21413,2,34,Рюкзак
Рюкзаки,Hiking Backpack 01 05,Hiking_Backpack_01_05,21413,2,34,Рюкзак
Рюкзаки,Military Backpack 02 01,Military_Backpack_02_01,21413,2,34,Рюкзак
Рюкзаки,Military Backpack 02 02,Military_Backpack_02_02,21413,2,34,Рюкзак
Рюкзаки,Military Backpack 02 03,Military_Backpack_02_03,26766,2,34,Рюкзак
Рюкзаки,Military Backpack 02 04,Military_Backpack_02_04,26766,2,34,Рюкзак
Рюкзаки,Military Backpack 02 05,Military_Backpack_02_05,26766,2,34,Рюкзак
Рюкзаки,Military Backpack 02 06,Military_Backpack_02_06,26766,2,34,Рюкзак
Рюкзаки,Military Backpack 02 07,Military_Backpack_02_07,26766,2,34,Рюкзак
Рюкзаки,Military Backpack 02 08,Military_Backpack_02_08,26766,2,34,Рюкзак
Рюкзаки,Police Backpack 02,Police_Backpack_02,26766,2,34,Рюкзак
База,Base Expansion Kit Lvl2,BaseExpansionKit_Lvl2,175098,15,255,Расширение базы 2
База,Base Expansion Kit Lvl1,BaseExpansionKit_Lvl1,104464,9,153,Расширение базы 1
Медицина,Activated Charcoal x3,ActivatedCharcoal_03,89220,7,119,Уголь
Медицина,Antibiotics x3 pack,Antibiotics_03,89220,7,119,Антибиотики
Медицина,Painkillers x3,PainKillers_03,71376,6,102,Обезболивающее
Снаряжение,Claymore,Claymore,81785,8,136,Мина — осторожно с балансом
Снаряжение,Night Vision,Night_Vision_Goggles_01,81785,7,119,ПНВ
Снаряжение,Mine,Mine_01,65428,6,102,Мина
